1	spec/core/kernel/instance_variables_spec.rb	1 file, 5 examples, 9 expectations, 1 failure, 0 errors, 0 tagged		6305
0	spec/core/kernel/is_a_spec.rb	1 file, 10 examples, 16 expectations, 0 failures, 0 errors, 0 tagged		5946
1	spec/core/kernel/exit_spec.rb	1 file, 18 examples, 58 expectations, 1 failure, 0 errors, 0 tagged		37872
1	spec/core/kernel/instance_variable_set_spec.rb	1 file, 15 examples, 16 expectations, 2 failures, 1 error, 0 tagged		9186
0	spec/core/kernel/itself_spec.rb	1 file, 1 example, 1 expectation, 0 failures, 0 errors, 0 tagged		8075
1	spec/core/kernel/lambda_spec.rb	1 file, 17 examples, 25 expectations, 1 failure, 0 errors, 0 tagged		7775
0	spec/core/kernel/kind_of_spec.rb	1 file, 1 example, 1 expectation, 0 failures, 0 errors, 0 tagged		8414
1	spec/core/kernel/Integer_spec.rb	1 file, 244 examples, 260 expectations, 9 failures, 58 errors, 0 tagged		14611
1	spec/core/kernel/match_spec.rb	1 file, 1 example, 1 expectation, 1 failure, 0 errors, 0 tagged		7287
0	spec/core/kernel/local_variables_spec.rb	1 file, 6 examples, 6 expectations, 0 failures, 0 errors, 0 tagged		7958
1	spec/core/kernel/load_spec.rb	1 file, 52 examples, 98 expectations, 5 failures, 2 errors, 0 tagged		10275
1	spec/core/kernel/loop_spec.rb	1 file, 11 examples, 12 expectations, 2 failures, 0 errors, 0 tagged		8292
1	spec/core/kernel/__method___spec.rb	1 file, 0 examples, 0 expectations, 0 failures, 1 error, 0 tagged		9256
1	spec/core/kernel/method_spec.rb	1 file, 16 examples, 23 expectations, 0 failures, 4 errors, 0 tagged		7979
0	spec/core/kernel/methods_spec.rb	1 file, 18 examples, 22 expectations, 0 failures, 0 errors, 0 tagged		9915
1	spec/core/kernel/not_match_spec.rb	1 file, 3 examples, 4 expectations, 1 failure, 0 errors, 0 tagged		8683
0	spec/core/kernel/nil_spec.rb	1 file, 1 example, 5 expectations, 0 failures, 0 errors, 0 tagged		9837
1	spec/core/kernel/object_id_spec.rb	1 file, 13 examples, 13 expectations, 1 failure, 0 errors, 0 tagged		9705
0	spec/core/kernel/print_spec.rb	1 file, 4 examples, 4 expectations, 0 failures, 0 errors, 0 tagged		8002
1	spec/core/kernel/pp_spec.rb	1 file, 1 example, 0 expectations, 1 failure, 0 errors, 0 tagged		14166
0	spec/core/kernel/private_methods_spec.rb	1 file, 11 examples, 15 expectations, 0 failures, 0 errors, 0 tagged		8956
0	spec/core/kernel/proc_spec.rb	1 file, 8 examples, 10 expectations, 0 failures, 0 errors, 0 tagged		8280
1	spec/core/kernel/open_spec.rb	1 file, 17 examples, 18 expectations, 6 failures, 8 errors, 0 tagged		16420
0	spec/core/kernel/protected_methods_spec.rb	1 file, 11 examples, 15 expectations, 0 failures, 0 errors, 0 tagged		9267
1	spec/core/kernel/p_spec.rb	1 file, 10 examples, 25 expectations, 1 failure, 0 errors, 0 tagged		9380
0	spec/core/kernel/printf_spec.rb	1 file, 331 examples, 1064 expectations, 0 failures, 0 errors, 0 tagged		15165
0	spec/core/kernel/public_methods_spec.rb	1 file, 13 examples, 18 expectations, 0 failures, 0 errors, 0 tagged		7286
1	spec/core/kernel/public_method_spec.rb	1 file, 10 examples, 11 expectations, 3 failures, 3 errors, 0 tagged		9446
